PartNumber;Rev;RefDes;QtyOnBoard;NoMount;Value;Voltage;Part Name
EGP10001452;0;C1,C4;2;;47u ;16V;GRM31CR61C476ME44
EGP10001452;0;C2,C3;2;NM;47u ;16V;GRM31CR61C476ME44
EGP10001458;0;C5,C6,C7,C8,C9,C10,C54,C56,C67,C68,C71,C74;12;;1u ;50V;GRT188R61H105KE13
EGP10000829;0;C11,C12,C14,C15,C17,C18,C20,C21,C23,C24,C26,C27,C29,C30,C32,C33;16;NM;100p ;500V;capacitor_1206_100p
EGP10000605;0;C13,C16,C19,C22,C25,C28,C31,C34;8;NM;100p ;50V;capacitor_0402_100p
EGP10001454;0;C35,C36,C37,C38,C39,C52,C75,C76,C77;9;;10u ;50V;GRM21BR61H106KE43
EGP10000605;0;C40,C41,C53,C59,C61;5;;100p ;50V;capacitor_0402_100p
EGP10000650;0;C42,C47,C62,C66;4;;1u ;25V;capacitor_0402_1u
EGP10000598;0;C43,C44,C45,C46,C48,C49,C55,C57,C58,C60,C63,C64;12;;27p ;50V;capacitor_0402_27p
EGP10000641;0;C50,C51;2;;100n ;50V;capacitor_0402_100n
EGP10000878;0;C65;1;;22u ;35V;capacitor_1206_22u
EGP10001461;0;C69,C70,C72,C73;4;;100n ;25V;GRM155R61E104KA87
EGP10001555;0;D1;1;;;;BAT54J
EGP10001250;0;D2,D3,D4,D5,D6,D7,D8;7;;;;QBLP600-RGB-2943
EGP10001527;0;D9,D10,D11,D12;4;;;3V6;BZX84-C3V6
EGP10001412;0;J1,J2,J3;3;;;;AXK6S60547YG
EGP10001570;0;J4;1;;;;LSHM-120-02.5-F-DV-A-S-K-TR
EGP10001481;0;M1,M2;2;;;;SMTSO3250CTJ
EGP10001581;0;M3,M4;2;NM;;;SMTSO3045CTJ
EGP10001048;0;Q1;1;;;60V;G20N06D52
EGP10000084;0;R1,R2,R98;3;;3K;;resistor_0402_3k
EGP10000097;0;R3,R4,R5,R45,R46,R47,R58,R59,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R77,R78,R94,R95,R105,R106,R107,R108,R113,R114,R117,R118,R119,R120,R126,R127;35;;10K;;resistor_0402_10k
EGP10000001;0;R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R75,R76,R81,R82,R96,R97;20;;0R;;resistor_0402_0
EGP10001835;0;R20,R23,R26,R29,R32,R35,R38,R41;8;;475K;;resistor_0402_475k
EGP10001756;0;R21,R24,R27,R30,R33,R36,R39,R42;8;;100K;;resistor_0402_100k
EGP10001836;0;R22,R25,R28,R31,R34,R37,R40,R43;8;;115K;;resistor_0402_115k
EGP10000037;0;R44,R50,R51,R52,R53,R54,R55,R56,R79,R80,R121,R122,R123,R124,R125;15;;30R;;resistor_0402_30
EGP10000050;0;R48,R49,R84,R86,R87,R88,R111,R112;8;;100R;;resistor_0402_100
EGP10000046;0;R57;1;NM;68R;;resistor_0402_68
EGP10001584;0;R60,R61;2;;140K;;resistor_0402_140k
EGP10000097;0;R73,R74,R99,R100,R101,R102;6;;10k;;resistor_0402_10k
EGP10000069;0;R90;1;;680R;;resistor_0402_680
EGP10000080;0;R91;1;;2K;;resistor_0402_2k
EGP10000073;0;R103,R104,R115,R116;4;;1K;;resistor_0402_1k
EGP10000073;0;R109,R110;2;;1k;;resistor_0402_1k
EGP10000145;0;R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139;12;;1M;;resistor_0402_1M
EGP10001451;0;TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38;38;NM;;;RCU
EGP10001467;0;U1;1;;;;24AA025UIDT-I/OT
EGP10001572;0;U2,U3,U12,U25;4;;;;PS509LEX
EGP10001171;0;U4,U5;2;;;;SN74LVC126APW
EGP10001470;0;U6,U7;2;;;;SN74LVC125APW
EGP10001413;0;U8;1;;;;LTC3265EDHC
EGP10001021;0;U9;1;;;;PI4IOE5V6416ZDEX
EGP10000891;0;U10,U22;2;;;;AD5592R
EGP10001725;0;U11,U16;2;;;;PGA849
EGP10001573;0;U13;1;;;;74LVC1G19DBV
EGP10001062;0;U14;1;;;;AMS1117-ADJ
EGP10001155;0;U15;1;;;;OPA192
EGP10001523;0;U17;1;;;;LP5012RUKR
EGP10001000;0;U18;1;;;;ATMEGA4809
EGP10001409;0;U19,U20;2;;;;SN74AVC4T774RGYR
EGP10001596;0;U21;1;;;;TLV9102IDR
EGP10001520;0;U23;1;;;;SN74LVC1G125DBVR
EGP10001624;0;U24;1;;;;SN74LVC1G126DBVR
EGP10000938;0;U26;1;;;;SN74LVC2G06DBVR
