Part Number,QTY,Ref Designator,Value,Value2,Manufacturer,Manufacturer Part Number,Component,No Mount,Distributor PN,#MES
cap_0402I,12,"C1,C5,C6,C8,C11,C12,C22,C25,C26,C27,C28,C37",100n,50V,,cap_0402I,cc0402_100n,,C307331,EGP10000641
cap_0402I,3,"C2,C10,C17",2u2,10V,,cap_0402I,cc0402_2u2,,C170151,EGP10000651
cap_0402I,11,"C3,C4,C7,C13,C14,C16,C18,C19,C21,C39,C40",10n,50V,,cap_0402I,cc0402_10n,,C15195,EGP10000629
cap_0402I,2,"C9,C38",10u,10V,,cap_0402I,cc0402_10u,,,EGP10000653
cap_0402I,2,"C15,C20",100p,50V,,cap_0402I,cc0402_100p,TRUE,,EGP10000605
cap_0805I,2,"C23,C42",10u,25V,,cap_0805I,cc0805_10u,,C440198,EGP10000001
cap_0402I,1,C24,1u,16V,,cap_0402I,cc0402_1u,,,EGP10000650
BAT54J,3,"D1,D6,D7",,,,BAT54J,BAT54J,,,EGP10001555
W2S118TS-A41,4,"D2,D3,D4,D5",,,Refond,W2S118TS-A41,led1204_w2s11t8,,,EGP10000957
Termblock_4,2,"J3,J4",,,,1803293,1803293,,,EPN1000057
2-292173-3,1,J5,,,TE Connectivty,2-292173-3,2-292173-3,,C591322,EGP10000947
BLM18AG331SN1,2,"L1,L2",?U,,,BLM18AG331SN1,BLM18AG331SN1,,,EGP10001542
SMTSO2515CTJ,4,"M1,M2,M3,M4",,,,SMTSO2515CTJ,SMTSO2515CTJ,,,EGP10001730
70N06,2,"Q1,Q2",,,,DON70N06,DON70N06,,,EGP10001550
AO3402,1,Q3,,,,AO3402A,sot23_ao3401,,C181092,EGP10001188
BC846B,1,Q4,,,,BC846B,sot23_bc846b,,,EGP10000899
resistor_0402I,10,"R2,R3,R13,R16,R19,R23,R26,R29,R61,R62",1k,,,resistor_0402I,rc0402_1k,,,EGP10000073
resistor_0402I,2,"R4,R59",3k3,,,resistor_0402I,rc0402_3k3,,,EGP10000085
resistor_0402I,1,R5,2k7,,,resistor_0402I,rc0402_2k7,,,EGP10000083
resistor_0402I,6,"R6,R8,R10,R17,R27,R31",2k,,,resistor_0402I,rc0402_2k,,,EGP10000080
resistor_0402I,6,"R7,R9,R11,R20,R30,R32",18k,,,resistor_0402I,rc0402_18k,,,EGP10000103
resistor_0402I,2,"R12,R22",100,,,resistor_0402I,rc0402_100,,,EGP10000050
resistor_0402I,4,"R14,R15,R24,R25",1,,,resistor_0402I,rc0402_1,,,EGP10000002
resistor_0402I,2,"R18,R28",1k,,,resistor_0402I,rc0402_1k,TRUE,,EGP10000073
resistor_1206I,2,"R21,R45",0.1,,,resistor_1206I,rc1206_100m,,,EGP10001617
resistor_0805I,10,"R36,R37,R38,R39,R40,R41,R42,R43,R44,R46",0,,,resistor_0805I,rc0805_0,,,EGP10000291
resistor_0402I,4,"R1,R47,R57,R58",0,,,resistor_0402I,rc0402_0,,C17168,EGP10000001
resistor_0402I,6,"R48,R52,R55,R56,R63,R64",10k,,,resistor_0402I,rc0402_10k,,C25531,EGP10000097
resistor_0402I,1,R50,680,,,resistor_0402I,rc0402_680,,,EGP10000069
resistor_0402I,3,"R51,R53,R54",10k,,,resistor_0402I,rc0402_10k,TRUE,C25531,EGP10000097
resistor_0402I,1,R60,82,,,resistor_0402I,rc0402_82,,,EGP10000048
resistor_0805I,5,"R65,R66,R67,R68,R69",0,,,resistor_0805I,rc0805_0,TRUE,,EGP10000291
INA2181A1,1,U1,,,Texas Instruments,INA2181A1,vssop10_ina2181a1,,,EGP10001618
OPA2192,1,U2,,,,OPA2192ID,OPA2192ID,,,EGP10001609
REF3425,1,U3,,,Texas Instruments,REF3425IDBVR,REF3425IDBVR,,,EGP10000912
AD5593R,1,U4,,,,AD5593R,AD5593R,,,EGP10000890
ISOW7741,1,U5,,,,ISOW7741F,ISOW7741F,,,EGP10001316
24AA02UID,1,U6,,,,24AA02UID,24AA02UID,,C511274,EGP10001023
MAX6650,1,U7,,,Maxim,MAX6650EUB+,vssop10_max6650,,C143561,EGP10001173
TMP116,1,U8,,,,TMP116,TMP116,,,EGP10001381
LP5012,1,U9,,,,LP5012RUKR,LP5012RUKR,,,EGP10001240
