PartNumber;Rev;RefDes;QtyOnBoard;NoMount;Value;Voltage;Part Name
EGP10000641;0;C1,C2,C5,C6,C17,C18,C19,C20,C26,C39,C52,C53,C54,C55,C56,C58,C59,C60,C61,C62,C63,C64,C65;23;;100n ;50V;capacitor_0402_100n
EGP10001454;0;C3,C4,C10,C13,C14,C27,C28,C33,C34,C35,C36,C37,C38,C44,C46,C70;16;;10u ;50V;GRM21BR61H106KE43
EGP10001452;0;C7,C11;2;NM;47u ;16V;GRM31CR61C476ME44
EGP10001452;0;C8,C9,C47,C49;4;;47u ;16V;GRM31CR61C476ME44
EGP10000621;0;C12,C15,C16,C21,C29,C50,C57,C95;8;;2n2 ;50V;capacitor_0402_2n2
EGP10001458;0;C22,C23,C24,C25,C40,C41,C42,C43,C45;9;;1u ;50V;GRT188R61H105KE13
EGP10001454;0;C30,C31,C32;3;NM;10u ;50V;GRM21BR61H106KE43
EGP10000621;0;C48,C51;2;NM;2n2 ;50V;capacitor_0402_2n2
EGP10000598;0;C66,C67,C68,C69,C80,C81,C82,C83,C90,C91,C92,C93;12;;27p ;50V;capacitor_0402_27p
EGP10000605;0;C71,C72;2;NM;100p ;50V;capacitor_0402_100p
EGP10000641;0;C76,C77,C78,C79,C84,C85;6;NM;100n ;50V;capacitor_0402_100n
EGP10000645;0;C86,C87,C88,C89;4;;220n ;25V;capacitor_0402_220n
EGP10000957;0;D1;1;;;;W2S118TS-A41
EGP10001024;0;D2,D3,D4,D5,D6,D7,D8,D9,D16,D17;10;;;;KGSOT05C
EGP10001658;0;D10,D11;2;;;;ESD652
EGP10001659;0;D12,D13;2;;;;ESD562
EGP10001527;0;D14,D15;2;;;3V6;BZX84-C3V6
EGP10001658;0;D18;1;NM;;;ESD652
EGP10001411;0;J1,J2,J3;3;;;;AXK5S60047YG
EGP10001547;0;J4,J5;2;;;;M2-TOP
EGP10001591;0;J8;1;;;;D09P33E4GV00LF
EGP10001592;0;J9;1;;;;D-SUB-DR-25PCG-BB
EGP10001595;0;J10;1;;;;LSHM-120-01-L-RH-A-S-K-x
EGP10001426;0;L1,L2,L3;3;;10u ;;SRP7028AA-100M
EGP10001549;0;M1,M2,M3,M4,M5,M6;6;;;;SMTSO3025CTJ
EGP10000893;0;Q4,Q5;2;;;;2N7002DW
EGP10000097;0;R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R43,R53,R54,R55,R56,R58,R59,R60,R62,R63,R80,R88,R89,R90,R91,R93,R94,R96,R98,R100,R104,R119,R122,R123,R126,R127,R134,R135,R150,R151,R152,R153,R154,R156,R157,R158,R164,R165,R166,R185,R189,R191,R200,R201,R202,R203,R204,R212,R214,R231,R232,R254,R256,R275;80;;10K;;resistor_0402_10k
EGP10000069;0;R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R167,R168,R169,R170;20;;680R;;resistor_0402_680
EGP10000052;0;R44,R45,R46,R47,R48,R49,R50,R51,R64,R112,R124,R195,R197,R198,R213,R223,R224,R225,R226,R227,R228,R229,R230,R245,R246,R247,R248,R257,R258,R259,R261,R262,R263,R264,R265,R266,R267,R268,R269,R270;40;;120R;;resistor_0402_120
EGP10000980;0;R52,R61,R79,R99,R110,R111,R182,R194,R210,R211;10;;13K3;;resistor_0402_13k3
EGP10000145;0;R57,R92,R102,R103,R117,R125,R140,R141,R171,R172,R173,R174,R181;13;;1M;;resistor_0402_1M
EGP10000001;0;R65,R66,R68,R71,R72,R73,R74,R75,R133,R162,R183,R187,R193,R196,R199,R233;16;NM;0R;;resistor_0402_0
EGP10000001;0;R67,R69,R70,R76,R77,R118,R129,R155,R159,R160,R161,R163,R180,R184,R190,R192,R234,R255;18;;0R;;resistor_0402_0
EGP10000097;0;R78,R120,R121,R128;4;NM;10K;;resistor_0402_10k
EGP10000105;0;R81;1;;22K;;resistor_0402_22k
EGP10000119;0;R82;1;;82K;;resistor_0402_82k
EGP10000115;0;R83,R84,R86;3;NM;56K;;resistor_0402_56k
EGP10000121;0;R85,R130,R186,R188,R235,R236,R237,R238,R241,R242,R243,R244,R249,R250,R251,R252,R253,R260;18;;100K;;resistor_0402_100k
EGP10000088;0;R87,R132;2;;4K3;;resistor_0402_4k3
EGP10000121;0;R95,R97,R101,R105,R209;5;NM;100K;;resistor_0402_100k
EGP10000084;0;R106;1;;3K;;resistor_0402_3k
EGP10001584;0;R107,R108,R109;3;NM;140K;;resistor_0402_140k
EGP10000073;0;R113,R131,R271,R272,R273,R274;6;;1K;;resistor_0402_1k
EGP10000053;0;R114;1;;130R;;resistor_0402_130
EGP10000078;0;R115;1;;1K6;;resistor_0402_1k6
EGP10000044;0;R116;1;;56R;;resistor_0402_56
EGP10000081;0;R136,R137,R138,R139,R175,R176,R177,R178;8;;2K2;;resistor_0402_2k2
EGP10000504;0;R142,R143,R144,R145;4;;680R;;resistor_1206_680
EGP10001584;0;R146,R147,R148,R149,R206,R208;6;;140K;;resistor_0402_140k
EGP10000037;0;R179;1;;30R;;resistor_0402_30
EGP10001834;0;R205,R207,R215,R216,R217,R218,R219,R220,R221,R222,R239,R240;12;;14K;;resistor_0402_14k
EGP10000052;0;R276,R277,R278,R279;4;NM;120R;;resistor_0402_120
EGP10000915;0;U1,U2,U3,U4;4;;;;PCA9616PW
EGP10000890;0;U5,U6;2;;;;AD5593R
EGP10001232;0;U7;1;;;;PCA9506BS
EGP10001749;0;U8,U9,U10,U11,U13;5;;;;TPS259474LRPW
EGP10000946;0;U12,U39,U40;3;;;;ADS7828EB
EGP10000955;0;U14;1;;;;ALM2402QPWPRQ1
EGP10001429;0;U15,U16,U17;3;;;;TPS54302DDC
EGP10001745;0;U18;1;;;;TRSF3232EIPWR
EGP10001062;0;U19,U20;2;;;;AMS1117-ADJ
EGP10001593;0;U24;1;;;;MAX491ESD+T
EGP10001594;0;U25,U38;2;;;;74HCS86QPWRQ1
EGP10000942;0;U26;1;;;;74HCS74PWR
EGP10000912;0;U27;1;;;2,5;REF3425IDBVR
EGP10001402;0;U28;1;;;;74HCS32PWR
EGP10001023;0;U29;1;;;;24AA02UID
EGP10001589;0;U30,U31,U32,U33,U34,U35,U36,U37;8;;;;KAQY214STLD
EGP10000938;0;U42;1;;;;SN74LVC2G06DBVR
