PartNumber;Rev;RefDes;QtyOnBoard;NoMount;Value;Voltage;Part Name
EGP10001458;0;C1,C2,C8,C9,C11,C12;6;;1u ;50V;GRT188R61H105KE13
EGP10001454;0;C3;1;;;50V;GRM21BR61H106KE43
EGP10001454;0;C4,C10,C16;3;;10u ;50V;GRM21BR61H106KE43
EGP10001452;0;C5;1;;47u ;16V;GRM31CR61C476ME44
EGP10000633;0;C6,C7;2;;22n ;50V;capacitor_0402_22n
EGP10001454;0;C13;1;NM;10u ;50V;GRM21BR61H106KE43
EGP10001024;0;D1,D2,D9,D10,D11,D12,D13,D14,D15,D16;10;;;;KGSOT05C
EGP10000957;0;D3,D8;2;;;;W2S118TS-A41
EGP10000957;0;D4,D5,D6,D7;4;NM;;;W2S118TS-A41
EGP10001603;0;J2;1;;;;D-SUB-DR-25PCM-BB
EGP10000097;0;R1,R6,R13,R14,R21,R22,R29,R30,R37,R38,R39,R41,R47,R48,R49,R50,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R92,R98,R99;36;;10K;;resistor_0402_10k
EGP10000097;0;R2,R3,R4,R5,R46,R97;6;NM;10K;;resistor_0402_10k
EGP10000989;0;R7,R8,R9,R10,R15,R16,R17,R18,R23,R24,R25,R26,R31,R32,R33,R34;16;;604R;;resistor_0402_604
EGP10000052;0;R11,R12,R19,R20,R27,R28,R35,R36;8;;120R;;resistor_0402_120
EGP10000077;0;R40;1;;1K5;;resistor_0402_1k5
EGP10000145;0;R42;1;;1M;;resistor_0402_1M
EGP10000115;0;R43;1;;56K;;resistor_0402_56k
EGP10000073;0;R44,R45,R51,R52,R53,R66,R67,R68;8;;1K;;resistor_0402_1k
EGP10000073;0;R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65;12;NM;1K;;resistor_0402_1k
EGP10000037;0;R86,R87,R88,R89;4;;30R;;resistor_0402_30
EGP10000001;0;R90,R91,R96;3;;0R;;resistor_0402_0
EGP10000113;0;R93;1;;47K;;resistor_0402_47k
EGP10000085;0;R94;1;;3K3;;resistor_0402_3k3
EGP10000050;0;R95;1;;100R;;resistor_0402_100
EGP10001171;0;U1;1;;;;SN74LVC126APW
EGP10001470;0;U2;1;;;;SN74LVC125APW
EGP10001749;0;U3;1;;;;TPS259474LRPW
EGP10000962;0;U7;1;;;;SN74LVC07APW
EGP10000915;0;U8,U9,U10,U11;4;;;;PCA9616PW
EGP10001021;0;U14;1;;;;PI4IOE5V6416ZDEX
EGP10001467;0;U15;1;;;;24AA025UIDT-I/OT
EGP10001745;0;U16;1;;;;TRSF3232EIPWR
